song_id,title,artist,genre,mood
song_1,Love Shadow #18,Harmony Central,Metal,Sad
song_2,Love Nights #30,Echo Chamber,Folk,Happy
song_3,City Rhythm #76,Synth Collective,Pop,Energetic
song_4,Summer Shadow #98,Sunset Boulevard,Rock,Sad
song_5,Summer Beat,Midnight Serenade,Country,Sad
song_6,The Winter #38,Starlight Symphony,Classical,Chill
song_7,The Love,Acoustic Alliance,Rock,Chill
song_8,The Winter #82,Northern Lights,Hip-Hop,Romantic
song_9,Night Days,Rhythm Republic,Metal,Chill
song_10,Winter Shadow,Neon Pulse,R&B,Romantic
song_11,The Love #5,Sunset Boulevard,Electronic,Angry
song_12,Heart Beat #64,Sound Pioneers,Country,Energetic
song_13,Dreams Memories,Crystal Clear,Electronic,Melancholy
song_14,Forever Memories,Midnight Serenade,Rock,Energetic
song_15,Winter Journey #49,Starlight Symphony,Country,Angry
song_16,The Love,Harmony Central,Metal,Angry
song_17,The Summer #56,Rhythm Republic,Country,Happy
song_18,The Night,Rhythm Republic,Metal,Sad
song_19,The Night,Echo Chamber,Folk,Chill
song_20,Forever Memories,Echo Chamber,Pop,Romantic
song_21,Lost Beat,Acoustic Alliance,R&B,Happy
song_22,Heart Days #63,Electric Dreams,Metal,Energetic
song_23,Dancing Memories #68,Starlight Symphony,Electronic,Chill
song_24,The Dreams,Sound Pioneers,Classical,Upbeat
song_25,The Dancing #29,Electric Dreams,Classical,Happy
song_26,Dreams Journey #10,Midnight Serenade,R&B,Sad
song_27,The Summer #31,Synth Collective,Country,Chill
song_28,Heart Journey,Analog Hearts,Electronic,Chill
song_29,Winter Beat,Digital Frontier,Pop,Sad
song_30,Summer Days #25,Neon Pulse,Country,Energetic
song_31,Night Song #10,Digital Frontier,Metal,Sad
song_32,City Nights,Beats Foundation,Hip-Hop,Melancholy
song_33,Dreams Rhythm,Rhythm Republic,Electronic,Happy
song_34,The Night,Digital Frontier,Jazz,Melancholy
song_35,City Song #38,Melody Lane,Pop,Happy
song_36,The Love #62,Echo Chamber,Metal,Energetic
song_37,City Days,Electric Dreams,Folk,Sad
song_38,Dreams Rhythm #73,Beats Foundation,Folk,Happy
song_39,Winter Journey,Sunset Boulevard,Jazz,Chill
song_40,Summer Light #17,Acoustic Alliance,Country,Romantic
song_41,The Lost #80,Crystal Clear,Rock,Sad
song_42,City Shadow #45,Electric Dreams,R&B,Romantic
song_43,Dancing Memories,Starlight Symphony,Metal,Happy
song_44,City Shadow,Harmony Central,Hip-Hop,Angry
song_45,Lost Memories #37,Starlight Symphony,R&B,Romantic
song_46,Night Memories,Midnight Serenade,Rock,Melancholy
song_47,The Love #99,Sonic Wave,Jazz,Energetic
song_48,The City,Neon Pulse,Pop,Sad
song_49,Forever Memories #48,Crystal Clear,Metal,Energetic
song_50,Love Shadow,Midnight Serenade,Classical,Chill
song_51,Lost Beat,Velvet Voice,Folk,Energetic
song_52,The Dreams,Rhythm Republic,Electronic,Happy
song_53,Summer Rhythm,Beats Foundation,Jazz,Energetic
